,YearStart,YearEnd,LocationAbbr,LocationDesc,StratificationCategory1,Stratification1,StratificationCategoryID1,StratificationID1,LocationID,OverweightValue,ObeseValue,TvValue,SodaValue,VegetableValue,FruitValue,PhysicalActivityValue,PhysicalEducationValue
0,2019,2019,AK,Alaska,Race/Ethnicity,Asian,RACE,RACEASN,2,15.0,18.0,8.3,9.0,49.6,48.4,9.6,10.8
1,2019,2019,AZ,Arizona,Total,Total,OVR,OVERALL,4,17.4,13.3,19.7,14.1,44.5,50.5,22.0,31.9
3,2019,2019,IL,Illinois,Grade,10th,GRADE,GRADE10,17,14.2,15.3,17.4,11.0,42.0,40.1,26.7,65.9
4,2019,2019,MD,Maryland,Race/Ethnicity,2 or more races,RACE,RACE2PLUS,24,16.7,11.1,21.3,12.7,37.0,45.6,21.1,15.4
5,2011,2011,RI,Rhode Island,Grade,9th,GRADE,GRADE09,44,16.1,11.5,30.7,21.7,36.9,35.5,27.4,19.5
6,2019,2019,MT,Montana,Grade,10th,GRADE,GRADE10,30,12.9,12.2,20.0,13.0,36.3,44.9,26.0,39.9
7,2019,2019,NE,Nebraska,Gender,Female,GEN,FEMALE,31,14.3,10.3,17.6,12.7,40.6,44.6,20.4,24.2
8,2019,2019,NM,New Mexico,Race/Ethnicity,Hispanic,RACE,RACEHIS,35,16.7,15.6,21.9,17.6,46.1,49.2,26.3,24.8
10,2019,2019,NC,North Carolina,Grade,9th,GRADE,GRADE09,37,16.3,17.3,23.9,19.3,49.2,49.9,23.1,41.7
11,2019,2019,NC,North Carolina,Grade,10th,GRADE,GRADE10,37,14.7,11.2,18.8,19.8,42.1,44.0,17.6,14.2
13,2019,2019,TX,Texas,Total,Total,OVR,OVERALL,48,17.8,16.9,20.9,19.5,51.7,50.5,22.9,35.1
14,2019,2019,UT,Utah,Grade,11th,GRADE,GRADE11,49,10.8,10.0,15.3,11.0,35.0,43.8,19.6,7.4
17,2019,2019,WV,West Virginia,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,54,16.2,22.4,20.3,28.2,47.6,52.7,26.0,27.3
18,2019,2019,GU,Guam,Grade,11th,GRADE,GRADE11,66,12.7,28.0,20.8,17.3,46.6,60.8,20.0,9.8
20,2019,2019,IA,Iowa,Total,Total,OVR,OVERALL,19,16.7,11.0,16.7,18.4,37.7,43.1,27.6,15.2
22,2005,2005,KS,Kansas,Grade,11th,GRADE,GRADE11,20,17.0,15.2,20.2,22.3,51.5,58.9,30.5,25.9
